Humidity, Temperature, Distance
37.0,25.0,915.0
37.0,25.0,915.0
37.0,25.0,914.0
46.0,26.0,913.0
57.0,27.0,913.0
61.0,27.0,912.0
64.0,27.0,912.0
65.0,27.0,913.0
66.0,27.0,912.0
66.0,26.0,912.0
66.0,26.0,912.0
65.0,26.0,913.0
64.0,26.0,913.0
63.0,26.0,913.0
62.0,26.0,914.0
34.0,25.0,29.0
34.0,25.0,30.0
42.0,26.0,30.0
50.0,27.0,30.0
56.0,26.0,860.0
57.0,26.0,860.0
56.0,26.0,859.0
56.0,26.0,867.0
55.0,26.0,880.0
54.0,26.0,890.0
53.0,26.0,895.0
52.0,26.0,897.0
51.0,26.0,897.0
39.0,27.0,30.0
39.0,27.0,30.0
39.0,27.0,30.0
39.0,27.0,30.0
51.0,28.0,31.0
55.0,28.0,31.0
57.0,28.0,888.0
57.0,28.0,891.0
56.0,28.0,894.0
55.0,28.0,897.0
53.0,28.0,901.0
